  NO     TB   C1    K1   C2    K2   F
 288    680    1   704    0     0   0
 289    712    1   736    0     0   0
 290    472    1   496    0     0   0
 291    520    1   544    0     0   0
 292    568    1   592    0     0   0
 293    616    1   640    0     0   0
 294    648    1   672    0     0   0
 295    696    1   720    0     0   0
 296    744    1   768    0     0   0
 297    776    1   800    0     0   0
 298    840    1   864    0     0   0
 299    872    1   896    0     0   0
 300    616    1   640    0     0   0
 301    680    1   704    0     0   0
 302    744    1   768    0     0   0
 303    808    1   832    0     0   0
 304    872    1   896    0     0   0
 305    904    1   928    0     0   0
 306    968    1   992    0     0   0
 307   1032    1  1056    0     0   0
 308   1096    1  1120    0     0   0
 309   1160    1  1184    0     0   0
 310    776    1   800    0     0   0
 311    840    1   864    0     0   0
 312    904    1   928    0     0   0
 313   1000    1  1024    0     0   0
 314   1064    1  1088    0     0   0
 315   1128    1  1152    0     0   0
 316   1192    1  1216    0     0   0
 317   1288    1  1312    0     0   0
 318   1352    1  1376    0     0   0
 319   1416    1  1440    0     0   0
 320    968    1   992    0     0   0
 321   1032    1  1056    0     0   0
 322   1128    1  1152    0     0   0
 323   1224    1  1248    0     0   0
 324   1320    1  1344    0     0   0
 325   1384    1  1408    0     0   0
 326   1480    1  1504    0     0   0
 327   1544    1  1568    0     0   0
 328   1672    1  1696    0     0   0
 329   1736    1  1760    0     0   0
 330   1128    1  1152    0     0   0
 331   1224    1  1248    0     0   0
 332   1352    1  1376    0     0   0
 333   1480    1  1504    0     0   0
 334   1544    1  1568    0     0   0
 335   1672    1  1696    0     0   0
 336   1736    1  1760    0     0   0
 337   1864    1  1888    0     0   0
 338   1992    1  2016    0     0   0
 339   2088    1  2112    0     0   0
 340   1320    1  1344    0     0   0
 341   1480    1  1504    0     0   0
 342   1608    1  1632    0     0   0
 343   1672    1  1696    0     0   0
 344   1800    1  1824    0     0   0
 345   1928    1  1952    0     0   0
 346   2088    1  2112    0     0   0
 347   2216    1  2240    0     0   0
 348   2344    1  2368    0     0   0
 349   2472    1  2496    0     0   0
 350   1544    1  1568    0     0   0
 351   1672    1  1696    0     0   0
 352   1800    1  1824    0     0   0
 353   1928    1  1952    0     0   0
 354   2088    1  2112    0     0   0
 355   2216    1  2240    0     0   0
 356   2344    1  2368    0     0   0
 357   2536    1  2560    0     0   0
 358   2664    1  2688    0     0   0
 359   2792    1  2816    0     0   0
 360   1736    1  1760    0     0   0
 361   1864    1  1888    0     0   0
 362   2024    1  2048    0     0   0
 363   2216    1  2240    0     0   0
 364   2344    1  2368    0     0   0
 365   2536    1  2560    0     0   0
 366   2664    1  2688    0     0   0
 367   2856    1  2880    0     0   0
 368   2984    1  3008    0     0   0
 369   3112    1  3136    0     0   0
 370   1928    1  1952    0     0   0
 371   2088    1  2112    0     0   0
 372   2280    1  2304    0     0   0
 373   2472    1  2496    0     0   0
 374   2664    1  2688    0     0   0
 375   2792    1  2816    0     0   0
 376   2984    1  3008    0     0   0
 377   3112    1  3136    0     0   0
 378   3368    1  3392    0     0   0
 379   3496    1  3520    0     0   0
 380   2216    1  2240    0     0   0
 381   2408    1  2432    0     0   0
 382   2600    1  2624    0     0   0
 383   2792    1  2816    0     0   0
 384   2984    1  3008    0     0   0
 385   3240    1  3264    0     0   0
 386   3496    1  3520    0     0   0
 387   3624    1  3648    0     0   0
 388   3880    1  3904    0     0   0
 389   4008    1  4032    0     0   0
 390   2472    1  2496    0     0   0
 391   2728    1  2752    0     0   0
 392   2984    1  3008    0     0   0
 393   3240    1  3264    0     0   0
 394   3368    1  3392    0     0   0
 395   3624    1  3648    0     0   0
 396   3880    1  3904    0     0   0
 397   4136    1  4160    0     0   0
 398   4392    1  4416    0     0   0
 399   4584    1  4608    0     0   0
 400   2856    1  2880    0     0   0
 401   3112    1  3136    0     0   0
 402   3368    1  3392    0     0   0
 403   3624    1  3648    0     0   0
 404   3880    1  3904    0     0   0
 405   4136    1  4160    0     0   0
 406   4392    1  4416    0     0   0
 407   4584    1  4608    0     0   0
 408   4968    1  4992    0     0   0
 409   5160    1  5184    0     0   0
 410   3112    1  3136    0     0   0
 411   3496    1  3520    0     0   0
 412   3752    1  3776    0     0   0
 413   4008    1  4032    0     0   0
 414   4264    1  4288    0     0   0
 415   4584    1  4608    0     0   0
 416   4968    1  4992    0     0   0
 417   5160    1  5184    0     0   0
 418   5544    1  5568    0     0   0
 419   5736    1  5760    0     0   0
 420   3368    1  3392    0     0   0
 421   3624    1  3648    0     0   0
 422   4008    1  4032    0     0   0
 423   4264    1  4288    0     0   0
 424   4584    1  4608    0     0   0
 425   4968    1  4992    0     0   0
 426   5160    1  5184    0     0   0
 427   5544    1  5568    0     0   0
 428   5736    1  5760    0     0   0
 429   6200    2  3136    0  3072   0
